bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,price,house_age
3,1.0,1.0,0,0,3,7,1180,0,98178,1340,5650,221900,60
3,2.25,2.0,0,0,3,7,2170,400,98125,1690,7639,538000,64
2,1.0,1.0,0,0,3,6,770,0,98028,2720,8062,180000,82
4,3.0,1.0,0,0,5,7,1050,910,98136,1360,5000,604000,50
3,2.0,1.0,0,0,3,8,1680,0,98074,1800,7503,510000,28
4,4.5,1.0,0,0,3,11,3890,1530,98053,4760,101930,1230000,14
3,2.25,2.0,0,0,3,7,1715,0,98003,2238,6819,257500,20
3,1.5,1.0,0,0,3,7,1060,0,98198,1650,9711,291850,52
3,1.0,1.0,0,0,3,7,1050,730,98146,1780,8113,229500,55
3,2.5,2.0,0,0,3,7,1890,0,98038,2390,7570,323000,12
3,2.5,1.0,0,0,3,8,1860,1700,98007,2210,8925,662500,50
2,1.0,1.0,0,0,4,7,860,300,98115,1330,6000,468000,73
3,1.0,1.5,0,0,4,7,1430,0,98028,1780,12697,310000,88
3,1.75,1.0,0,0,4,7,1370,0,98074,1370,10208,400000,38
5,2.0,1.5,0,0,3,7,1810,0,98107,1360,4850,530000,115
4,3.0,2.0,0,3,3,9,1980,970,98126,2140,4000,650000,36
3,2.0,2.0,0,0,3,7,1890,0,98019,1890,14018,395000,21
4,1.0,1.5,0,0,4,7,1600,0,98103,1610,4300,485000,99
2,1.0,1.0,0,0,4,7,1200,0,98002,1060,5095,189000,94
3,1.0,1.0,0,0,4,7,1250,0,98003,1280,8850,230000,46
4,1.75,1.0,0,0,4,7,860,760,98133,1400,4980,385000,68
3,2.75,1.0,0,4,3,9,2330,720,98040,4110,20336,2000000,47
5,2.5,2.0,0,0,3,8,2270,0,98092,2240,7005,285000,20
2,1.5,1.0,0,0,3,7,1070,0,98030,1220,8386,252700,30
3,2.25,2.0,0,0,4,8,2450,0,98030,2200,6865,329000,30
3,2.0,1.5,0,0,5,6,1710,0,98002,1030,4705,233000,74
3,1.75,2.0,0,0,3,8,1750,700,98119,1760,3573,937000,100
3,1.0,1.5,0,0,5,8,1400,0,98112,1860,3861,667000,106
3,1.75,1.0,0,0,3,7,790,730,98115,1520,6235,438000,67
4,2.5,2.0,0,0,3,8,2570,0,98052,2630,6026,719000,10
3,2.5,2.0,0,0,3,8,2320,0,98027,2580,3980,580500,12
2,1.5,3.0,0,0,3,7,1190,0,98133,1390,1756,280000,10
4,1.75,1.5,0,0,4,7,1510,820,98117,1460,5000,687500,86
3,1.0,1.5,0,0,4,8,1090,0,98117,1570,5080,535000,86
4,2.75,1.0,0,0,3,7,1280,780,98058,2020,8720,322500,34
3,2.5,1.5,0,0,3,8,1510,790,98115,1590,3264,696000,85
4,1.0,1.0,0,0,1,5,930,730,98052,2160,11467,550000,82
4,2.0,2.0,0,0,4,8,2360,0,98107,1730,4700,640000,111
4,1.0,1.0,0,0,2,7,890,330,98001,1290,7800,240000,46
4,2.5,2.0,0,0,3,8,2620,0,98056,2620,11884,605000,19
4,2.5,2.0,0,0,3,9,2570,0,98074,2470,5669,625000,15
4,2.25,1.0,0,0,3,8,2600,1620,98166,2410,30617,775000,31
5,2.75,2.0,0,0,3,9,3595,0,98053,3625,5639,861990,1
3,1.0,2.0,0,0,3,7,1570,0,98119,1580,2640,685000,93
3,1.0,1.0,0,0,4,6,920,360,98058,1340,8808,309000,56
3,2.5,2.0,0,0,3,8,3160,0,98019,3050,9232,488000,12
3,1.0,1.0,0,0,3,6,990,0,98023,1228,8840,210490,49
4,2.5,2.0,0,0,4,9,2290,0,98007,2680,13685,785000,34
3,1.75,1.0,0,0,4,7,1250,0,98115,970,5100,450000,62
3,2.5,1.0,1,2,5,9,2165,588,98070,2680,72513,1350000,62
3,1.0,1.0,0,0,3,7,1190,0,98148,1190,9364,228000,60
5,2.5,1.0,0,0,4,8,1640,1510,98056,1990,9133,345000,49
3,1.75,1.0,0,0,4,7,1000,410,98117,1410,4080,600000,65
2,1.75,1.0,0,0,3,7,990,990,98117,1480,6738,585000,34
5,2.25,1.5,0,0,3,8,2130,600,98105,2730,6000,920000,88
4,2.5,2.0,0,0,3,9,2830,0,98105,1950,5000,885000,20
4,2.5,2.0,0,0,3,7,2250,0,98042,2250,4500,292500,7
3,2.5,2.0,0,0,3,8,2420,0,98042,2690,4750,301000,12
5,3.25,2.0,0,4,4,8,3250,0,98008,2960,11044,951000,47
4,3.0,2.0,0,0,3,8,1850,0,98059,2270,8542,430000,24
3,2.25,1.0,0,3,4,8,1590,560,98166,2570,18900,650000,56
3,1.75,1.0,0,0,3,7,1260,0,98148,1290,8750,289000,61
3,1.75,2.0,0,0,5,8,2519,0,98166,2500,9500,505000,42
3,1.75,3.0,0,0,3,8,1540,0,98115,1580,3090,549000,1
3,2.25,1.0,0,0,3,7,1110,550,98122,1440,4080,425000,36
3,2.75,1.5,0,0,5,7,1770,1000,98144,1440,4000,317625,90
4,2.5,2.0,0,0,3,10,2720,0,98004,2750,11049,975000,26
4,2.5,2.0,0,0,3,7,2240,0,98001,2221,4557,287000,10
3,1.0,1.0,0,0,4,7,1000,0,98042,1010,12635,204000,47
5,2.25,1.0,0,0,3,8,1600,1600,98004,3390,20158,1330000,50
